"csv_file_name","question_name","ï..id","questionusageid","slot","behaviour","questionid","variant","maxmark","minfraction","maxfraction","flagged","questionsummary","rightanswer","responsesummary","timemodified","questionattemptid","sequencenumber","state","fraction","timecreated","userid","firstname","lastname","username","attempt_number","group"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1759768,54074,16,"interactivecountback",29997,1,1,0,1,0,"\({-2\,\left(-3\right)^{n-1}}\) is Neither increasing nor decreasing and Unbounded","Seed: 1886707239; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1886707239; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606137212,717230,1,"gradedright",1,1605726454,132,"anonfirstname10","anonlastname10","anon10",1,"Group CG"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1761702,54110,16,"interactivecountback",29997,2,1,0,1,0,"\({-2\,5^{n-1}}\) is Decreasing and Bounded above","Seed: 1454419938; ans1: ""Decreasing"" [score]; ans2: ""Bounded above"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1454419938; ans1: ""Decreasing"" [score]; ans2: ""Bounded above"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606155139,718190,2,"gradedright",1,1606151763,222,"anonfirstname100","anonlastname100","anon100",1,"Group CG"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1757493,54033,26,"interactivecountback",29997,3,0,0,1,0,"\({-2\,\left(-5\right)^{n-1}}\) is Neither increasing nor decreasing and Unbounded","Seed: 258534682; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 258534682; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Bounded above and below"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 0 | ATAlgEquiv_String | prt2-1-F",1606153383,716117,1,"gradedpartial",0.5,1606147384,223,"anonfirstname101","anonlastname101","anon101",1,"Group GC"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1757495,54033,27,"interactivecountback",29997,2,0,0,1,0,"\({-2\,5^{n-1}}\) is Decreasing and Bounded above","Seed: 1454419938; ans1: ""Decreasing"" [score]; ans2: ""Bounded above"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1454419938; ans1: ""Decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 0 | ATAlgEquiv_String | prt2-1-F",1606153383,716118,1,"gradedpartial",0.5,1606147502,223,"anonfirstname101","anonlastname101","anon101",2,"Group GC"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1757472,54033,16,"interactivecountback",29997,5,1,0,1,0,"\({4\,3^{n-1}}\) is Increasing and Bounded below","Seed: 1967851554; ans1: ""Increasing"" [score]; ans2: ""Bounded below"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1967851554; ans1: ""Increasing"" [score]; ans2: ""Bounded below"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606153383,716107,1,"gradedright",1,1606147630,223,"anonfirstname101","anonlastname101","anon101",3,"Group GC"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1761760,54111,16,"interactivecountback",29997,7,1,0,1,0,"\({-5\,\left(-2\right)^{n-1}}\) is Neither increasing nor decreasing and Unbounded","Seed: 1832130200; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1832130200; prt1: !; prt2: !",1606149131,718218,1,"gaveup",NA,1606149130,227,"anonfirstname105","anonlastname105","anon105",1,"Group CG"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1761809,54112,16,"interactivecountback",29997,1,1,0,1,0,"\({-2\,\left(-3\right)^{n-1}}\) is Neither increasing nor decreasing and Unbounded","Seed: 1886707239; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1886707239; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1605600484,718240,1,"gradedright",1,1605599688,230,"anonfirstname108","anonlastname108","anon108",1,"Group CG"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1761865,54113,16,"interactivecountback",29997,5,1,0,1,0,"\({4\,3^{n-1}}\) is Increasing and Bounded below","Seed: 1967851554; ans1: ""Increasing"" [score]; ans2: ""Bounded below"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1967851554; ans1: ""Increasing"" [score]; ans2: ""Bounded below"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606140654,718265,1,"gradedright",1,1606140433,231,"anonfirstname109","anonlastname109","anon109",1,"Group CG"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1757555,54035,16,"interactivecountback",29997,2,1,0,1,0,"\({-2\,5^{n-1}}\) is Decreasing and Bounded above","Seed: 1454419938; ans1: ""Decreasing"" [score]; ans2: ""Bounded above"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1454419938; ans1: ""Decreasing"" [score]; ans2: ""Bounded above"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1605616927,716157,1,"gradedright",1,1605615908,232,"anonfirstname110","anonlastname110","anon110",1,"Group GC"
"../data-raw/study2/attempts_MidC2.csv","MidC2",1757611,54036,16,"interactivecountback",29997,10,1,0,1,0,"\({4\,\left(-3\right)^{n-1}}\) is Neither increasing nor decreasing and Unbounded","Seed: 123877803; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 123877803; ans1: ""Neither increasing nor decreasing"" [score]; ans2: ""Unbounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606213361,716182,1,"gradedright",1,1606210635,235,"anonfirstname113","anonlastname113","anon113",1,"Group GC"
