study,group,username,question_name,q_type,responsesummary,marks_attained,task_order,part,response,q_part,relevant_prt,fully_correct,response_type,response_type_overall
study1,GCG,anon100,MidG,G,ans1: 6+3*n [score]; ans2: 5-4*n [score]; ans3: 7-5*n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Classify first,ans1,6+3*n ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,GCG,anon100,MidG,G,ans1: 6+3*n [score]; ans2: 5-4*n [score]; ans3: 7-5*n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Classify first,ans2,5-4*n ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
study1,GCG,anon100,MidG,G,ans1: 6+3*n [score]; ans2: 5-4*n [score]; ans3: 7-5*n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Classify first,ans3,7-5*n ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T,TRUE,an+b,an+b
study1,GCG,anon100,MidG,G,ans1: 6+3*n [score]; ans2: 5-4*n [score]; ans3: 7-5*n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Classify first,ans4,none ,MidG_ans4,prt4: ATEquation_empty | prt4-1-T,TRUE,none,none
study1,CGC,anon101,MidG,G,ans1: 1+(n-1)2 [score]; ans2: 1+(n-1)(-2) [score]; ans3: none [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATEquation_empty | prt3-3-T; prt4: ATEquation_empty | prt4-1-T,3,Generate first,ans1,1+(n-1)2 ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,CGC,anon101,MidG,G,ans1: 1+(n-1)2 [score]; ans2: 1+(n-1)(-2) [score]; ans3: none [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATEquation_empty | prt3-3-T; prt4: ATEquation_empty | prt4-1-T,3,Generate first,ans2,1+(n-1)(-2) ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
study1,CGC,anon101,MidG,G,ans1: 1+(n-1)2 [score]; ans2: 1+(n-1)(-2) [score]; ans3: none [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATEquation_empty | prt3-3-T; prt4: ATEquation_empty | prt4-1-T,3,Generate first,ans3,none ,MidG_ans3,prt3: ATEquation_empty | prt3-3-T,FALSE,none,none
study1,CGC,anon101,MidG,G,ans1: 1+(n-1)2 [score]; ans2: 1+(n-1)(-2) [score]; ans3: none [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATEquation_empty | prt3-3-T; prt4: ATEquation_empty | prt4-1-T,3,Generate first,ans4,none ,MidG_ans4,prt4: ATEquation_empty | prt4-1-T,TRUE,none,none
study1,CGC,anon103,MidG,G,ans1: n [score]; ans2: -n [score]; ans3: -n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Generate first,ans1,n ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,CGC,anon103,MidG,G,ans1: n [score]; ans2: -n [score]; ans3: -n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Generate first,ans2,-n ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
